"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
286,"2019-02-01 05:22:03.9370","2019-02-01 05:26:50.1810",363,"Harrison Ave at Mullins Way",42.34521562115022,-71.0638403149278,39,"Washington St at Rutland St",42.338514601785995,-71.07404083013535,4523,"Subscriber",1989,1
1894,"2019-02-01 05:27:46.4400","2019-02-01 05:59:20.7690",31,"Seaport Hotel - Congress St at Seaport Ln",42.34881026188269,-71.04167744055303,9,"Commonwealth Ave at Agganis Way",42.35169201885973,-71.11903488636017,4376,"Subscriber",1981,1
641,"2019-02-01 05:29:14.6450","2019-02-01 05:39:56.6430",59,"Chinatown Gate Plaza",42.351356,-71.059367,21,"Prudential Center - Belvedere St",42.34652003998412,-71.08065776545118,3404,"Subscriber",1984,1
767,"2019-02-01 05:33:12.0220","2019-02-01 05:45:59.2940",369,"Boston Public Market",42.36254854409333,-71.0573735833168,222,"Troy Boston",42.343749,-71.062256,3338,"Subscriber",1994,2
276,"2019-02-01 05:34:21.4690","2019-02-01 05:38:57.8460",39,"Washington St at Rutland St",42.338514601785995,-71.07404083013535,363,"Harrison Ave at Mullins Way",42.34521562115022,-71.0638403149278,2268,"Subscriber",1968,2
942,"2019-02-01 05:34:45.3820","2019-02-01 05:50:27.4610",117,"Binney St / Sixth St",42.36616223459919,-71.08688293667001,46,"Christian Science Plaza - Massachusetts Ave at Westland Ave",42.3436658245146,-71.08582377433777,4436,"Customer",1995,1
765,"2019-02-01 05:50:19.9960","2019-02-01 06:03:05.4020",98,"Warren St at Chelsea St",42.371848,-71.060292,81,"Chinatown T Stop",42.352409,-71.062679,4455,"Subscriber",1974,1
1274,"2019-02-01 06:04:24.2540","2019-02-01 06:25:38.8500",195,"Child St at North St",42.37150494100319,-71.07249312120985,9,"Commonwealth Ave at Agganis Way",42.35169201885973,-71.11903488636017,3606,"Subscriber",1988,2
195,"2019-02-01 06:04:18.7180","2019-02-01 06:07:33.7550",40,"Lewis Wharf at Atlantic Ave",42.363871,-71.050877,151,"Surface Rd at India St",42.358155,-71.052163,2972,"Subscriber",1986,1
298,"2019-02-01 06:04:44.8490","2019-02-01 06:09:42.9790",6,"Cambridge St at Joy St",42.36121165307985,-71.06530619789737,23,"Boston City Hall - 28 State St",42.35892,-71.057629,3561,"Subscriber",1988,2
273,"2019-02-01 06:05:32.2350","2019-02-01 06:10:05.7040",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.34807412317439,-71.07657015323639,3006,"Subscriber",1959,1
269,"2019-02-01 06:08:16.3920","2019-02-01 06:12:45.6530",87,"Harvard University Housing - 115 Putnam Ave at Peabody Terrace",42.366621,-71.114214,76,"Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St",42.366426,-71.105495,2855,"Subscriber",1986,1
229,"2019-02-01 06:12:30.7840","2019-02-01 06:16:19.8900",104,"Harvard University Radcliffe Quadrangle at Shepard St / Garden St",42.380287,-71.125107,74,"Harvard Square at Mass Ave/ Dunster",42.373268,-71.118579,3768,"Subscriber",1982,1
1588,"2019-02-01 06:17:39.2770","2019-02-01 06:44:07.6370",94,"Main St at Austin St",42.375603,-71.064608,93,"JFK/UMass T Stop",42.32033973515723,-71.05118036270142,3999,"Subscriber",1975,1
853,"2019-02-01 06:17:48.0270","2019-02-01 06:32:01.4120",115,"Porter Square Station",42.387995,-71.119084,91,"One Kendall Square at Hampshire St / Portland St",42.366277,-71.09169,3757,"Subscriber",1968,1
322,"2019-02-01 06:20:33.9560","2019-02-01 06:25:56.7240",100,"Davis Square",42.396969,-71.123024,239,"Community Path at Cedar Street",42.39407223665884,-71.11133694648743,3042,"Subscriber",1994,1
370,"2019-02-01 06:22:07.2720","2019-02-01 06:28:17.9380",71,"Conway Park - Somerville Avenue",42.383405,-71.107593,115,"Porter Square Station",42.387995,-71.119084,3627,"Subscriber",1987,1
730,"2019-02-01 06:22:09.1790","2019-02-01 06:34:19.3670",190,"Nashua Street at Red Auerbach Way",42.365673,-71.064263,218,"Watermark Seaport - Boston Wharf Rd at Seaport Blvd",42.351586001198456,-71.04569256305693,3386,"Subscriber",1958,1
611,"2019-02-01 06:24:18.5090","2019-02-01 06:34:29.6230",190,"Nashua Street at Red Auerbach Way",42.365673,-71.064263,24,"Seaport Square - Seaport Blvd at Northern Ave",42.35148193460858,-71.04436084628105,4438,"Subscriber",1976,1
1369,"2019-02-01 06:25:18.5030","2019-02-01 06:48:07.5580",77,"Somerville City Hall",42.386844,-71.09812,54,"Tremont St at West St",42.354979,-71.063348,2675,"Subscriber",1977,1
1417,"2019-02-01 06:25:24.8670","2019-02-01 06:49:02.2910",345,"Park Plaza at Charles St S.",42.351828068920675,-71.06781138111728,63,"Dorchester Ave at Gillette Park",42.344040510016356,-71.05737626552582,4059,"Subscriber",1961,1
323,"2019-02-01 06:25:37.8990","2019-02-01 06:31:00.9250",359,"One Brigham Circle",42.333922701369964,-71.10446508982932,160,"Wentworth Institute of Technology - Huntington Ave at Vancouver St",42.33758601097239,-71.09627097845076,2324,"Subscriber",1997,1
389,"2019-02-01 06:26:06.4960","2019-02-01 06:32:36.0510",90,"Lechmere Station at Cambridge St / First St",42.370677,-71.076529,190,"Nashua Street at Red Auerbach Way",42.365673,-71.064263,2337,"Subscriber",1992,1
205,"2019-02-01 06:28:28.0850","2019-02-01 06:31:53.6740",20,"Aquarium T Stop - 200 Atlantic Ave",42.35991176110118,-71.0514298081398,192,"Purchase St at Pearl St",42.354659,-71.053181,4527,"Subscriber",1962,1
586,"2019-02-01 06:28:41.5870","2019-02-01 06:38:28.1740",190,"Nashua Street at Red Auerbach Way",42.365673,-71.064263,157,"Seaport Blvd at Sleeper St",42.35317809186252,-71.04817356923377,2376,"Subscriber",1971,1
204,"2019-02-01 06:29:00.7160","2019-02-01 06:32:24.7810",80,"MIT Stata Center at Vassar St / Main St",42.3621312344991,-71.09115600585936,189,"Kendall T",42.362427842912396,-71.08495473861694,3131,"Subscriber",1976,1
